step, node, time
2, 3.0, 0.258
3, 4.5, 0.334
4, 5.0, 0.488
5, 6.0, 0.665
6, 7.0, 1.188
7, 9.45, 1.301
8, 11.38, 1.581
9, 14.64, 1.999
10, 18.79, 2.719
11, 25.06, 3.276
12, 35.49, 4.506
13, 47.76, 6.022
14, 63.06, 8.336
15, 87.11, 11.035
16, 116.46, 14.74
17, 167.65, 21.313
18, 216.81, 27.497
19, 301.91, 38.898
20, 402.19, 51.063
21, 562.6, 71.597
22, 758.56, 95.279
23, 1083.92, 136.193
24, 1468.15, 184.7
25, 2187.11, 272.276
26, 2893.34, 360.633
27, 4392.29, 539.73
28, 5647.68, 702.958
29, 9103.55, 1104.249
30, 12294.4, 1668.851
